Denumire,CUI,CAEN,Adresa,SF_AN,Active imobilizate,Active circulante,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri totale,Cheltuieli totale,Profit brut,Pierdere bruta,Profit net,Pierdere neta,Numar mediu de salariati
EUROPRISMA PRODIMPEX SRL,4003280,4711,"Municipiul Oradea, Str. IZVORULUI, Nr. 4 H, Județ Bihor",2017,,,,,,,105892,,,-105892,200,,,0,47501,0,47501,0,47501,
EUROPRISMA PRODIMPEX SRL,4003280,4711,"Municipiul Oradea, Str. IZVORULUI, Nr. 4 H, Județ Bihor",2019,,,,,,,105892,,,-105892,200,,,0,,0,0,0,0,
ARARAT COMIMPEX SRL,6072880,4711,"Municipiul Oradea, Calea ARADULUI, Nr. 44, Bloc D 4, Apartament 3, Județ Bihor",2018,205291,21132,8814,10527,1791,22895,860304,0,0,-610986,200,0,303386,303386,308872,0,5486,0,8888,2
ARARAT COMIMPEX SRL,6072880,4711,"Municipiul Oradea, Calea ARADULUI, Nr. 44, Bloc D 4, Apartament 3, Județ Bihor",2016,220934,40947,30717,8843,1387,22895,875185,0,0,-590409,200,0,180668,180668,240144,0,59476,0,63091,0
ARARAT COMIMPEX SRL,6072880,4711,"Municipiul Oradea, Calea ARADULUI, Nr. 44, Bloc D 4, Apartament 3, Județ Bihor",2017,213112,38174,27478,8553,2143,22895,876279,0,0,-602098,200,0,278028,278089,285245,0,7156,0,11689,2
ARARAT COMIMPEX SRL,6072880,4711,"Municipiul Oradea, Calea ARADULUI, Nr. 44, Bloc D 4, Apartament 3, Județ Bihor",2019,197470,87472,60108,25551,1813,22895,858935,0,0,-551098,200,0,259349,259349,196867,62482,0,59888,0,0
VALICARM SRL,14760669,4711,"Municipiul Oradea, Str. CAZABAN, Nr. 6, Bloc P 4, Apartament 2, Județ Bihor",2016,2067,2348,,,2348,,626,,,3789,200,,,0,,0,0,0,0,
VALICARM SRL,14760669,4711,"Municipiul Oradea, Str. CAZABAN, Nr. 6, Bloc P 4, Apartament 2, Județ Bihor",2018,2067,2348,,,2348,,1712,,,2703,200,,,0,1086,0,1086,0,1086,
VALICARM SRL,14760669,4711,"Municipiul Oradea, Str. CAZABAN, Nr. 6, Bloc P 4, Apartament 2, Județ Bihor",2017,2067,2348,,,2348,,626,,,3789,200,,,0,,0,0,0,0,
VALICARM SRL,14760669,4711,"Municipiul Oradea, Str. CAZABAN, Nr. 6, Bloc P 4, Apartament 2, Județ Bihor",2019,2067,2348,,,2348,,1712,,,2703,200,,,0,,0,0,0,0,
PARACELSUS SRL,18303783,4711,"Municipiul Oradea, B-dul DECEBAL, Nr. 5, Bloc P18, Apartament 2, Județ Bihor",2016,,0,-652,652,,,13881,,,-13881,200,,,0,,0,0,0,0,
PARACELSUS SRL,18303783,4711,"Municipiul Oradea, B-dul DECEBAL, Nr. 5, Bloc P18, Apartament 2, Județ Bihor",2018,,0,0,0,,,13881,,,-13881,200,,,0,,0,0,0,0,
PARACELSUS SRL,18303783,4711,"Municipiul Oradea, B-dul DECEBAL, Nr. 5, Bloc P18, Apartament 2, Județ Bihor",2017,,,,,,,13881,,,-13881,200,,,0,,0,0,0,0,
PARACELSUS SRL,18303783,4711,"Municipiul Oradea, B-dul DECEBAL, Nr. 5, Bloc P18, Apartament 2, Județ Bihor",2019,,0,0,0,,,13881,,,-13881,200,,,0,,0,0,0,0,
LIA COM IMPEX SRL,59474,4711,"Municipiul Oradea, STR. REPUBLICII, Nr. 69-71, Județ Bihor",2018,,148,,148,,,45721,,,-45573,200,,,0,,0,0,0,0,
LIA COM IMPEX SRL,59474,4711,"Municipiul Oradea, STR. REPUBLICII, Nr. 69-71, Județ Bihor",2019,,148,,148,,,45721,,,-45573,200,,,0,,0,0,0,0,
LIA COM IMPEX SRL,59474,4711,"Municipiul Oradea, STR. REPUBLICII, Nr. 69-71, Județ Bihor",2017,,148,,148,,,45721,,,-45573,200,,,0,,0,0,0,0,
LIA COM IMPEX SRL,59474,4711,"Municipiul Oradea, STR. REPUBLICII, Nr. 69-71, Județ Bihor",2016,,148,,148,,,45721,,,-45573,200,,,0,,0,0,0,0,
MALIXAM MARKET SRL,25618571,4711,"Municipiul Oradea, OVIDIU, Nr. 1, Județ Bihor",2018,,,,,,,8411,,,-8411,200,,,0,,0,0,0,0,
MALIXAM MARKET SRL,25618571,4711,"Municipiul Oradea, OVIDIU, Nr. 1, Județ Bihor",2016,,,,,,,8411,,,-8411,200,,,0,,0,0,0,0,
MALIXAM MARKET SRL,25618571,4711,"Municipiul Oradea, OVIDIU, Nr. 1, Județ Bihor",2019,,,,,,,8411,,,-8411,200,,,0,,0,0,0,0,
MALIXAM MARKET SRL,25618571,4711,"Municipiul Oradea, OVIDIU, Nr. 1, Județ Bihor",2017,,,,,,,8411,,,-8411,200,,,0,,0,0,0,0,
TRIBO-ROSSO COMEXIM SRL,3826474,4711,"Municipiul Oradea, STR. LISZT FERENC, Nr. 26, Bloc PC58, Apartament 6, Județ Bihor",2017,,,,,,,846,,,-846,200,,,0,,0,0,0,0,
TRIBO-ROSSO COMEXIM SRL,3826474,4711,"Municipiul Oradea, STR. LISZT FERENC, Nr. 26, Bloc PC58, Apartament 6, Județ Bihor",2018,,,,,,,846,,,-846,200,,,0,,0,0,0,0,
TRIBO-ROSSO COMEXIM SRL,3826474,4711,"Municipiul Oradea, STR. LISZT FERENC, Nr. 26, Bloc PC58, Apartament 6, Județ Bihor",2016,,,,,,,846,,,-846,200,,,0,,0,0,0,0,
TRIBO-ROSSO COMEXIM SRL,3826474,4711,"Municipiul Oradea, STR. LISZT FERENC, Nr. 26, Bloc PC58, Apartament 6, Județ Bihor",2019,,,,,,,846,,,-846,200,,,0,,0,0,0,0,
AR & A SRL,7551686,4711,"Municipiul Oradea, P-CUL TRAIAN, Nr. 11, Județ Bihor",2017,152301,5413,,,5413,,4852,,,152862,4700,,,0,,0,0,0,0,
AR & A SRL,7551686,4711,"Municipiul Oradea, P-CUL TRAIAN, Nr. 11, Județ Bihor",2019,152301,5413,,,5413,,4852,,,152862,4700,,,0,,0,0,0,0,
I.M.S.A.G. COM SRL,7990304,4711,"Municipiul Oradea, STR. ALUMINEI, Nr. 47, Bloc A 4, Scara D, Etaj 1, Apartament 6, Județ Bihor",2018,,,,,,,0,,,0,500,,,0,,0,0,0,0,
I.M.S.A.G. COM SRL,7990304,4711,"Municipiul Oradea, STR. ALUMINEI, Nr. 47, Bloc A 4, Scara D, Etaj 1, Apartament 6, Județ Bihor",2017,,,,,,,0,,,0,500,,,0,,0,0,0,0,
I.M.S.A.G. COM SRL,7990304,4711,"Municipiul Oradea, STR. ALUMINEI, Nr. 47, Bloc A 4, Scara D, Etaj 1, Apartament 6, Județ Bihor",2019,,,,,,,0,,,0,500,,,0,,0,0,0,0,
I.M.S.A.G. COM SRL,7990304,4711,"Municipiul Oradea, STR. ALUMINEI, Nr. 47, Bloc A 4, Scara D, Etaj 1, Apartament 6, Județ Bihor",2016,,,,,,,0,,,0,500,,,0,,0,0,0,0,
VAFA COM SRL,5825033,4711,"Municipiul Oradea, Str. HENRIC IBSEN, Nr. 65, Județ Bihor",2016,,11658,10047,,1611,,0,,,11658,200,,,0,,0,0,0,0,
VAFA COM SRL,5825033,4711,"Municipiul Oradea, Str. HENRIC IBSEN, Nr. 65, Județ Bihor",2018,,11658,10047,,1611,,50,,,11608,200,,,0,50,0,50,0,50,
VAFA COM SRL,5825033,4711,"Municipiul Oradea, Str. HENRIC IBSEN, Nr. 65, Județ Bihor",2017,,11658,10047,,1611,,0,,,11658,200,,,0,,0,0,0,0,
DORIANGEL SRL,15526519,4711,"Municipiul Oradea, Str. SLATINEI, Nr. 9, Bloc PB 22, Etaj 3, Apartament 12, Județ Bihor",2018,,14854,172,13259,1423,,22,,,14832,200,,,0,,0,0,0,0,
DORIANGEL SRL,15526519,4711,"Municipiul Oradea, Str. SLATINEI, Nr. 9, Bloc PB 22, Etaj 3, Apartament 12, Județ Bihor",2017,,14854,172,13259,1423,,22,,,14832,200,,,0,,0,0,0,0,
DORIANGEL SRL,15526519,4711,"Municipiul Oradea, Str. SLATINEI, Nr. 9, Bloc PB 22, Etaj 3, Apartament 12, Județ Bihor",2016,,14854,172,13259,1423,,22,,,14832,200,,0,0,,0,0,0,0,
DORIANGEL SRL,15526519,4711,"Municipiul Oradea, Str. SLATINEI, Nr. 9, Bloc PB 22, Etaj 3, Apartament 12, Județ Bihor",2019,,14854,172,13259,1423,,22,,,14832,200,,,0,,0,0,0,0,
